current_month,previous_month,is_consecutive_month,current_order_count,previous_order_count,order_volume_change_pct,current_delivery_kpi_order_count,previous_delivery_kpi_order_count,current_on_time_delivery_count,previous_on_time_delivery_count,current_on_time_delivery_rate_pct,previous_on_time_delivery_rate_pct,on_time_delivery_change_pp,current_average_delivery_days,previous_average_delivery_days,average_delivery_days_change,current_reviewed_order_count,previous_reviewed_order_count,current_average_order_review_score,previous_average_order_review_score,average_review_score_change,is_delivery_issue,issue_severity
2017-02-01,2017-01-01,true,1780,800,122.50,1653,750,1600,727,96.79,96.93,-0.14,13.17,12.65,0.52,1768,790,4.02,4.06,-0.04,false,
2017-03-01,2017-02-01,true,2682,1780,50.67,2546,1653,2404,1600,94.42,96.79,-2.37,12.95,13.17,-0.22,2661,1768,4.07,4.02,0.05,false,
2017-04-01,2017-03-01,true,2404,2682,-10.37,2303,2546,2122,2404,92.14,94.42,-2.28,14.92,12.95,1.97,2387,2661,4.05,4.07,-0.02,false,
2017-05-01,2017-04-01,true,3700,2404,53.91,3545,2303,3417,2122,96.39,92.14,4.25,11.32,14.92,-3.60,3666,2387,4.14,4.05,0.09,false,
2017-06-01,2017-05-01,true,3245,3700,-12.30,3135,3545,3014,3417,96.14,96.39,-0.25,12.01,11.32,0.69,3218,3666,4.15,4.14,0.01,false,
2017-07-01,2017-06-01,true,4026,3245,24.07,3872,3135,3739,3014,96.57,96.14,0.43,11.59,12.01,-0.42,3990,3218,4.18,4.15,0.03,false,
2017-08-01,2017-07-01,true,4331,4026,7.58,4193,3872,4054,3739,96.68,96.57,0.11,11.15,11.59,-0.44,4298,3990,4.24,4.18,0.06,false,
2017-09-01,2017-08-01,true,4285,4331,-1.06,4150,4193,3934,4054,94.80,96.68,-1.88,11.85,11.15,0.70,4251,4298,4.19,4.24,-0.05,false,
2017-10-01,2017-09-01,true,4631,4285,8.07,4478,4150,4241,3934,94.71,94.80,-0.09,11.86,11.85,0.01,4593,4251,4.12,4.19,-0.07,false,
2017-11-01,2017-10-01,true,7544,4631,62.90,7288,4478,6245,4241,85.69,94.71,-9.02,15.16,11.86,3.30,7480,4593,3.91,4.12,-0.21,true,High
2017-12-01,2017-11-01,true,5673,7544,-24.80,5513,7288,5051,6245,91.62,85.69,5.93,15.39,15.16,0.23,5612,7480,4.02,3.91,0.11,false,
2018-01-01,2017-12-01,true,7269,5673,28.13,7069,5513,6605,5051,93.44,91.62,1.82,14.08,15.39,-1.31,7201,5612,4.04,4.02,0.02,false,
2018-02-01,2018-01-01,true,6728,7269,-7.44,6555,7069,5507,6605,84.01,93.44,-9.43,16.95,14.08,2.87,6672,7201,3.83,4.04,-0.21,true,High
2018-03-01,2018-02-01,true,7211,6728,7.18,7003,6555,5507,5507,78.64,84.01,-5.37,16.30,16.95,-0.65,7148,6672,3.75,3.83,-0.08,true,Moderate
2018-04-01,2018-03-01,true,6939,7211,-3.77,6798,7003,6437,5507,94.69,78.64,16.05,11.50,16.30,-4.80,6883,7148,4.16,3.75,0.41,false,
2018-05-01,2018-04-01,true,6873,6939,-0.95,6749,6798,6193,6437,91.76,94.69,-2.93,11.42,11.50,-0.08,6839,6883,4.19,4.16,0.03,false,
2018-06-01,2018-05-01,true,6167,6873,-10.27,6096,6749,6013,6193,98.64,91.76,6.88,9.24,11.42,-2.18,6141,6839,4.28,4.19,0.09,false,
2018-07-01,2018-06-01,true,6292,6167,2.03,6156,6096,5880,6013,95.52,98.64,-3.12,8.96,9.24,-0.28,6247,6141,4.26,4.28,-0.02,false,
2018-08-01,2018-07-01,true,6512,6292,3.50,6351,6156,5691,5880,89.61,95.52,-5.91,7.73,8.96,-1.23,6485,6247,4.26,4.26,0.00,true,Moderate
