issue_id,previous_month,current_month,issue_change_pp,issue_severity,customer_state,previous_eligible_orders,current_eligible_orders,previous_on_time_rate_pct,current_on_time_rate_pct,on_time_change_pp,current_late_orders,excess_late_orders,average_delivery_days_change,promise_window_days_change
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,RJ,654,1012,91.74,71.94,-19.80,284,200.44,6.15,-0.50
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,SP,1723,2898,95.88,91.55,-4.33,245,125.58,2.40,0.16
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,MG,542,922,98.71,90.24,-8.47,90,78.09,3.94,-0.23
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,RS,244,409,95.90,84.35,-11.55,64,47.24,4.56,-0.56
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,SC,174,288,94.83,84.03,-10.80,46,31.10,4.69,-0.42
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,ES,100,168,94.00,77.38,-16.62,38,27.92,2.81,0.27
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,CE,63,103,95.24,69.90,-25.34,31,26.10,5.40,-1.46
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,PR,198,365,95.45,89.86,-5.59,37,20.41,1.90,-0.77
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,GO,106,153,94.34,82.35,-11.99,27,18.34,4.32,-0.18
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,BA,158,243,89.24,83.13,-6.11,41,14.85,2.14,-0.44
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,DF,92,157,94.57,87.26,-7.31,20,11.47,2.60,0.59
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,MT,50,73,98.00,86.30,-11.70,10,8.54,3.88,-2.45
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,PE,77,125,92.21,86.40,-5.81,17,7.26,1.65,-2.02
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,PA,52,69,90.38,85.51,-4.87,10,3.37,1.59,-1.27
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,RJ,850,879,85.29,64.05,-21.24,316,186.74,5.46,-3.60
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,SP,2975,2632,96.03,91.38,-4.65,227,122.60,1.47,-1.06
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,MG,846,790,96.22,89.49,-6.73,83,53.12,2.99,-1.21
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,SC,311,254,88.42,74.02,-14.40,66,36.60,2.53,-2.37
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,BA,228,208,92.54,78.37,-14.17,45,29.49,4.33,-2.34
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,CE,77,84,87.01,57.14,-29.87,36,25.09,5.93,-2.81
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,GO,144,146,95.14,78.08,-17.06,32,24.90,4.01,-2.24
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,PR,371,335,97.04,90.15,-6.89,33,23.07,1.03,-2.55
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,RS,367,363,90.74,85.40,-5.34,53,19.37,2.23,-2.32
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,DF,135,170,95.56,85.29,-10.27,25,17.44,6.00,0.23
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,MA,55,55,92.73,63.64,-29.09,20,16.00,9.59,-3.75
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,MS,70,64,94.29,75.00,-19.29,16,12.34,5.85,-2.51
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,ES,145,149,88.97,83.89,-5.08,24,7.56,2.85,-2.09
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,MT,83,67,96.39,86.57,-9.82,9,6.58,2.91,-1.85
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,PE,102,121,91.18,86.78,-4.40,16,5.32,1.61,-2.67
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,MG,790,856,89.49,76.75,-12.74,199,109.07,1.00,-3.68
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,SP,2632,2971,91.38,88.32,-3.06,347,90.76,-1.04,-3.27
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,ES,149,133,83.89,55.64,-28.25,59,37.58,2.31,-3.32
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,BA,208,235,78.37,64.68,-13.69,83,32.16,0.02,-2.56
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,RS,363,407,85.40,79.36,-6.04,84,24.58,-1.33,-3.24
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,PA,57,67,84.21,47.76,-36.45,35,24.42,8.25,-0.59
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,PR,335,369,90.15,84.82,-5.33,56,19.65,0.53,-2.79
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,PE,121,107,86.78,76.64,-10.14,25,10.85,0.68,-3.98
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,CE,84,93,57.14,46.24,-10.90,50,10.14,-0.94,-3.22
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,MS,64,57,75.00,59.65,-15.35,23,8.75,0.73,-3.18
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,RJ,879,864,64.05,63.08,-0.97,319,8.39,0.48,3.42
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,DF,170,147,85.29,79.59,-5.70,30,8.38,-2.57,-3.64
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,MT,67,52,86.57,73.08,-13.49,14,7.01,0.95,-2.98
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,GO,146,141,78.08,80.14,2.06,28,-2.90,-1.23,-2.73
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,SC,254,247,74.02,76.52,2.50,58,-6.18,-4.53,-2.84
delivery-2018-08,2018-07-01,2018-08-01,-5.91,Moderate,SP,2712,3164,94.69,84.39,-10.30,494,326.00,-0.52,-4.29
delivery-2018-08,2018-07-01,2018-08-01,-5.91,Moderate,RJ,696,723,96.41,91.70,-4.71,60,34.03,-1.28,-7.82
delivery-2018-08,2018-07-01,2018-08-01,-5.91,Moderate,MG,644,700,98.29,96.86,-1.43,22,10.04,-0.88,-3.70
delivery-2018-08,2018-07-01,2018-08-01,-5.91,Moderate,RS,308,293,98.05,95.22,-2.83,14,8.29,-0.47,-3.36
delivery-2018-08,2018-07-01,2018-08-01,-5.91,Moderate,SC,195,201,97.95,94.03,-3.92,12,7.88,-0.41,-3.04
delivery-2018-08,2018-07-01,2018-08-01,-5.91,Moderate,PR,314,327,97.45,95.11,-2.34,16,7.67,-0.57,-3.52
delivery-2018-08,2018-07-01,2018-08-01,-5.91,Moderate,DF,165,143,95.76,95.10,-0.66,7,0.93,-0.24,-2.99
delivery-2018-08,2018-07-01,2018-08-01,-5.91,Moderate,PE,136,83,94.12,95.18,1.06,4,-0.88,-0.87,0.56
delivery-2018-08,2018-07-01,2018-08-01,-5.91,Moderate,GO,112,117,94.64,95.73,1.09,5,-1.27,-1.72,-2.89
delivery-2018-08,2018-07-01,2018-08-01,-5.91,Moderate,CE,84,55,97.62,100.00,2.38,0,-1.31,0.46,4.80
delivery-2018-08,2018-07-01,2018-08-01,-5.91,Moderate,BA,245,159,93.06,98.74,5.68,2,-9.03,-2.05,3.28
delivery-2018-08,2018-07-01,2018-08-01,-5.91,Moderate,ES,122,103,90.16,99.03,8.87,1,-9.13,-2.21,0.43
