purchase_month,order_count,orders_with_payment_records,recorded_payment_value,average_order_value,delivery_kpi_order_count,on_time_delivery_count,on_time_delivery_rate_pct,average_delivery_days,reviewed_order_count,average_order_review_score
2017-01-01,800,800,138488.04,173.11,750,727,96.93,12.65,790,4.06
2017-02-01,1780,1780,291908.01,163.99,1653,1600,96.79,13.17,1768,4.02
2017-03-01,2682,2682,449863.60,167.73,2546,2404,94.42,12.95,2661,4.07
2017-04-01,2404,2404,417788.03,173.79,2303,2122,92.14,14.92,2387,4.05
2017-05-01,3700,3700,592918.82,160.25,3545,3417,96.39,11.32,3666,4.14
2017-06-01,3245,3245,511276.38,157.56,3135,3014,96.14,12.01,3218,4.15
2017-07-01,4026,4026,592382.92,147.14,3872,3739,96.57,11.59,3990,4.18
2017-08-01,4331,4331,674396.32,155.71,4193,4054,96.68,11.15,4298,4.24
2017-09-01,4285,4285,727762.45,169.84,4150,3934,94.80,11.85,4251,4.19
2017-10-01,4631,4631,779677.88,168.36,4478,4241,94.71,11.86,4593,4.12
2017-11-01,7544,7544,1194882.80,158.39,7288,6245,85.69,15.16,7480,3.91
2017-12-01,5673,5673,878401.48,154.84,5513,5051,91.62,15.39,5612,4.02
2018-01-01,7269,7269,1115004.18,153.39,7069,6605,93.44,14.08,7201,4.04
2018-02-01,6728,6728,992463.34,147.51,6555,5507,84.01,16.95,6672,3.83
2018-03-01,7211,7211,1159652.12,160.82,7003,5507,78.64,16.30,7148,3.75
2018-04-01,6939,6939,1160785.48,167.28,6798,6437,94.69,11.50,6883,4.16
2018-05-01,6873,6873,1153982.15,167.90,6749,6193,91.76,11.42,6839,4.19
2018-06-01,6167,6167,1023880.50,166.03,6096,6013,98.64,9.24,6141,4.28
2018-07-01,6292,6292,1066540.75,169.51,6156,5880,95.52,8.96,6247,4.26
2018-08-01,6512,6512,1022425.32,157.01,6351,5691,89.61,7.73,6485,4.26
